Education,Income,Recency,NumWebVisitsMonth,Complain,Response,Age,Children,TotalSpending,NumOfTransactions,NumOfAcceptedCmp,CVR,AgeGroup,IncomeGroup,SpendingGroup,TransactionGroup,MaritalStatus_Bertunangan,MaritalStatus_Cerai,MaritalStatus_Duda,MaritalStatus_Janda,MaritalStatus_Lajang,MaritalStatus_Menikah
2,0.2886239613526474,0.3119590590629424,0.6865773912388352,0,1,1.0225645801660497,0,1.684058976194956,1.3326986021797054,0,0.14285714285714285,4,5,3,2,0,0,0,0,1,0
2,-0.26499220683478486,-0.3783634335338168,-0.13443053093704654,0,0,1.2803127441173643,2,-0.9616512984033948,-1.162050125110678,0,0.0,4,4,0,0,0,0,0,0,1,0
2,0.9211470973816155,-0.7925569290918723,-0.5449344920249874,0,0,0.3352361429625442,0,0.28466127749230635,0.8074883438027824,0,0.0,3,7,1,2,1,0,0,0,0,0
2,-1.1896260275025854,-0.7925569290918723,0.2760734301508943,0,0,-1.2971688953957814,1,-0.9183881115231701,-0.8994449959222167,0,0.0,1,2,0,0,1,0,0,0,0,0
4,0.29589973768544814,1.554539545737109,-0.13443053093704654,0,0,-1.0394207314444668,1,-0.30438365156921326,0.544883214614321,0,0.0,2,5,0,1,0,0,0,0,0,1
3,0.49398861590750714,-1.1377181753902519,0.2760734301508943,0,0,0.16340403366166784,1,0.18482315392255724,0.9387909083970132,0,0.0,3,6,1,2,1,0,0,0,0,0
2,0.17113190870103276,-0.5164279320531686,0.2760734301508943,0,0,-0.18026018494008494,1,-0.02483690557391584,0.8074883438027824,0,0.0,3,5,1,2,0,1,0,0,0,0
4,-0.8700551547689889,-0.5854601813128445,1.097081352326776,0,0,-1.3830849500462197,1,-0.725367739288322,-0.6368398667337554,0,0.0,1,3,0,0,0,0,0,0,0,1
4,-1.0157115029024129,-1.034169801500738,1.507585313414717,0,1,-0.4380083488913995,1,-0.9300358926063076,-1.162050125110678,0,0.1111111111111111,2,3,0,0,1,0,0,0,0,0
4,-2.175282488380973,0.657120305361322,6.023128885382067,0,0,1.6239769627191172,2,-0.9250439864278202,-1.687260383487601,1,0.0,5,0,0,0,1,0,0,0,0,0
2,-0.028529476018760606,-1.3102987985394416,0.6865773912388352,0,0,-1.2112528407453433,1,-0.9749630482126946,-1.4246552542991395,0,0.0,1,5,0,0,0,0,0,0,0,1
0,-2.0883486963271216,0.34647518369278035,1.097081352326776,0,0,-0.609840458192276,0,-0.9050763617138703,-1.162050125110678,0,0.0,2,0,0,0,0,0,0,0,0,1
2,0.5183976719917419,1.1403460501790534,-1.3659424142008691,0,0,0.8507324708651733,0,0.8271150822212764,0.1509755208316289,0,0.0,4,6,2,1,0,1,0,0,0,0
3,0.345703600195781,0.13937843591375262,0.2760734301508943,0,0,1.4521448534182406,2,-0.4907481488994116,0.019672956237398207,0,0.0,4,5,0,1,0,1,0,0,0,0
2,-1.6272522387974329,-0.3783634335338168,1.097081352326776,0,0,-1.554917059347096,0,-0.9300358926063076,-1.2933526897049088,0,0.0,1,1,0,0,0,0,0,0,0,1
4,1.4462703866399507,-0.8961053029813861,-0.9554384531129283,0,1,1.9676411813208698,0,1.1815404208938856,1.4640011667739359,2,0.3333333333333333,5,8,2,2,0,0,0,0,1,0
2,-0.4759427799935368,0.0703461866540767,1.097081352326776,0,0,-0.9535046767940287,2,-0.8468374562981833,-0.768142431327986,0,0.0,2,4,0,0,0,0,0,0,0,1
2,-0.6679293941945371,-0.9996536768709,0.6865773912388352,0,0,1.9676411813208698,0,-0.4791003678162742,-0.2429321729510632,0,0.0,5,3,0,1,1,0,0,0,0,0
3,1.1737808278534452,1.4509911718475952,-0.13443053093704654,0,0,1.7098930173695552,1,1.958613816011766,1.4640011667739359,1,0.0,5,7,3,2,0,0,0,0,0,1
1,-0.8532504584648426,1.2784105486984052,0.2760734301508943,0,0,-1.3830849500462197,1,-0.7852706134301713,-0.8994449959222167,0,0.0,1,3,0,0,0,0,0,0,1,0
2,-0.7017265487727083,-0.2748150596443029,1.097081352326776,0,0,-1.125336786094905,0,-0.48076433654243667,-0.3742347375452939,0,0.0,1,3,0,1,0,0,0,0,0,1
4,0.31063905232092837,0.48453968221213223,1.097081352326776,0,0,1.7098930173695552,1,0.6107991478201533,0.28227808542585964,1,0.0,5,5,1,1,0,0,0,0,0,1
4,0.6259383402397839,-1.6899761694676592,-0.5449344920249874,0,0,1.2803127441173643,1,-0.10137946697739014,0.6761857792085517,0,0.0,4,6,1,1,0,0,0,0,0,1
2,-0.5304406917508379,0.6916364299911599,1.097081352326776,0,0,1.538060908068679,1,-0.2677763395936386,0.6761857792085517,0,0.0,5,4,0,1,1,0,0,0,0,0
2,-1.5678255753308152,1.3819589225879192,0.6865773912388352,0,0,-0.008428075639208563,0,-0.8817807995475955,-0.8994449959222167,0,0.0,3,1,0,0,0,0,0,0,1,0
2,0.064295347840036,-1.5519116709483074,0.6865773912388352,0,0,-0.609840458192276,2,-0.5789384913860233,-0.1116296083568325,0,0.0,2,5,0,1,0,0,0,0,0,1
2,-0.028529476018760606,-1.034169801500738,-1.77644637528881,0,0,-1.4690010046966577,1,0.053369624555720946,1.5953037313681666,0,0.0,1,5,1,2,0,0,0,0,1,0
2,-0.6397650987127278,-0.7925569290918723,-0.9554384531129283,0,0,-1.7267491686479723,1,-0.7885985508824963,-0.768142431327986,0,0.0,1,3,0,0,0,0,0,0,0,1
4,1.531608201949833,1.623571794996785,-1.3659424142008691,0,0,0.3352361429625442,0,1.7755772561338927,1.4640011667739359,1,0.0,3,8,3,2,0,0,0,0,0,1
3,-1.925042723025097,-0.5164279320531686,-0.13443053093704654,0,0,-1.7267491686479723,0,-0.9566593922249074,-0.8994449959222167,0,0.0,1,1,0,0,0,1,0,0,0,0
3,-0.6275605706706104,0.2429268098032665,-0.9554384531129283,0,0,0.5070682522634206,0,-0.4774363990901117,-0.5055373021395246,0,0.0,3,3,0,1,1,0,0,0,0,0
2,-0.5370593011890631,-0.6199763059426825,-0.13443053093704654,0,0,-0.09434413028964675,1,-0.8069022068702837,-0.768142431327986,1,0.0,3,4,0,0,1,0,0,0,0,0
4,-0.25250603583784936,-1.4138471724289556,0.2760734301508943,0,1,1.4521448534182406,2,-0.5040598987087115,0.28227808542585964,0,0.16666666666666666,4,4,0,1,0,1,0,0,0,0
3,0.7823910016412348,-1.5519116709483074,0.6865773912388352,0,0,1.9676411813208698,0,0.98352814248055,0.4135806500200903,0,0.0,5,6,2,1,0,0,0,0,0,1
3,-0.12205840726460246,0.20841068517342853,0.6865773912388352,0,0,1.538060908068679,2,-0.8984204868092204,-1.162050125110678,0,0.0,5,4,0,0,0,0,0,0,1,0
4,0.7211805994607692,-0.41287955816365474,-1.3659424142008691,0,0,-0.09434413028964675,1,0.5126249929765667,1.7266062959623973,0,0.0,3,6,1,2,0,0,0,0,0,1
1,-1.327067789453815,0.9332493024000257,0.6865773912388352,0,0,-0.609840458192276,1,-0.8717969871906206,-0.768142431327986,0,0.0,2,2,0,0,0,0,0,0,0,1
2,-0.4487642348535908,1.7271201688862987,-0.13443053093704654,0,0,-0.35209229424096133,1,-0.8950925493568954,-1.0307475605164476,0,0.0,2,4,0,0,0,0,0,1,0,0
4,-0.14275916444373232,0.13937843591375262,0.2760734301508943,0,1,2.2253893452721845,0,0.4943213369887794,1.2013960375854746,1,0.16666666666666666,5,4,1,2,0,1,0,0,0,0
2,1.3153533531420067,-1.5864277955781454,-0.5449344920249874,0,0,-0.9535046767940287,1,1.3146579189868843,0.8074883438027824,0,0.0,2,8,2,2,0,0,0,0,0,1
3,-1.4753528051655411,1.3474427979580812,1.097081352326776,0,0,-1.3830849500462197,1,-0.9183881115231701,-1.0307475605164476,0,0.0,1,2,0,0,0,0,0,0,0,1
2,-1.4079931984715472,-1.5519116709483074,-0.13443053093704654,0,0,1.0225645801660497,1,-0.9699711420342072,-1.4246552542991395,0,0.0,4,2,0,0,1,0,0,0,0,0
4,-0.028529476018760606,1.0713138009193774,-1.3659424142008691,0,0,0.8507324708651733,0,-0.6970802709435597,-0.768142431327986,0,0.0,4,5,0,0,0,0,0,0,1,0
3,-2.0883486963271216,-1.034169801500738,-0.13443053093704654,0,0,-0.5239244035418377,1,-0.9549954234987449,-0.8994449959222167,0,0.0,2,0,0,0,0,0,0,0,0,1
2,1.312067518669129,0.7951848038806738,-1.77644637528881,0,0,-0.609840458192276,0,0.6307667725341032,0.1509755208316289,0,0.0,2,7,1,1,0,0,0,0,1,0
1,-2.0883486963271216,-0.8615891783515482,1.507585313414717,0,1,-2.3281615512010396,0,-0.8035742694179587,-0.6368398667337554,0,0.1111111111111111,0,0,0,0,0,0,0,0,0,1
2,-0.48166952007483804,1.485507296477433,1.9180892745026579,0,0,0.07748797901122963,1,-0.9150601740708452,-1.2933526897049088,0,0.0,3,4,0,0,1,0,0,0,0,0
2,-0.028529476018760606,1.623571794996785,0.2760734301508943,0,0,1.538060908068679,3,-0.8002463319656338,-0.6368398667337554,0,0.0,5,5,0,0,0,0,0,0,1,0
4,0.9651303388257078,-0.3438473089039788,1.097081352326776,0,0,1.2803127441173643,2,1.1881962957985355,1.7266062959623973,0,0.0,4,7,2,2,0,0,0,0,0,1
2,0.6335427000198725,-0.6890085552023584,-1.3659424142008691,0,0,1.0225645801660497,1,-0.16294630984540207,0.28227808542585964,0,0.0,4,6,1,1,0,0,0,1,0,0
3,1.2746090056783226,-1.6209439202079834,-0.9554384531129283,0,0,0.4211521976129824,0,1.810520599383305,1.857908860556628,0,0.0,3,7,3,2,0,0,0,0,0,1
2,-0.7604021643598111,0.1738945605435906,0.6865773912388352,0,0,-0.6957565128427141,1,-0.8867727057260829,-1.0307475605164476,0,0.0,2,3,0,0,0,0,0,0,1,0
2,1.4360373592815598,0.1738945605435906,-1.77644637528881,0,1,-0.6957565128427141,0,1.684058976194956,0.8074883438027824,2,1.0,2,8,3,2,0,1,0,0,0,0
2,0.6751789168404806,0.27744293443310447,-0.9554384531129283,0,0,-0.7816725674931523,2,0.0017865940446839166,1.070093472991244,0,0.0,2,6,1,2,0,0,0,0,0,1
3,1.426743141772563,0.20841068517342853,-1.77644637528881,0,1,1.1943966894669262,0,2.249808343090201,1.5953037313681666,1,1.0,4,8,3,2,1,0,0,0,0,0
2,0.8589040043668168,-0.6544924305725205,-0.9554384531129283,0,1,0.249320088312106,0,0.812139363685814,0.8074883438027824,0,0.3333333333333333,3,7,2,2,0,1,0,0,0,0
2,-1.128978911231756,-0.6199763059426825,-0.9554384531129283,0,0,-1.6408331139975343,1,-0.9583233609510698,-1.162050125110678,0,0.0,1,2,0,0,0,0,0,0,1,0
2,-0.028529476018760606,0.27744293443310447,0.2760734301508943,0,0,-1.125336786094905,1,-0.9300358926063076,-1.0307475605164476,0,0.0,1,5,0,0,0,0,0,0,1,0
4,0.1861059257988614,0.48453968221213223,0.6865773912388352,0,0,0.07748797901122963,1,-0.14464265385761474,0.544883214614321,0,0.0,3,5,1,1,0,0,0,0,0,1
3,1.1166073080253722,-1.2757826739096036,-1.77644637528881,0,1,-1.125336786094905,0,1.3862085742118713,0.8074883438027824,2,1.0,1,7,2,2,0,0,0,0,1,0
2,0.6883222547319916,-1.068685926130576,-0.9554384531129283,0,0,-0.5239244035418377,2,0.011770406401658825,0.9387909083970132,0,0.0,2,6,1,2,1,0,0,0,0,0
2,0.4615996761034264,-0.7925569290918723,0.6865773912388352,0,0,1.4521448534182406,1,0.4643698999178547,1.2013960375854746,0,0.0,4,6,1,2,0,0,0,0,1,0
4,0.7365301404983553,-1.4138471724289556,-0.13443053093704654,0,0,1.538060908068679,1,0.0017865940446839166,0.544883214614321,0,0.0,5,6,1,1,0,0,0,1,0,0
2,0.8766944510128264,-0.6890085552023584,-0.5449344920249874,0,0,1.7958090720199935,0,0.7838518953410518,0.1509755208316289,0,0.0,5,7,2,1,1,0,0,0,0,0
